"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"На главной странице кликаем на кнопку 'Заказать', заполняем все поля валидными даннымина форме 'Для кого самокат', кликаем на кнопку 'Далее', заполняем валидными данными поляформы 'Про аренду', кликаем на кнопку 'Заказать', кликаем на кнопку 'Да' во всплывающем окне 'Хотите оформить заказ?' и проверяем, что появилось всплывающее окнос сообщением об успешном создании заказа.","4418","Проверка успешного оформления заказа самоката","UI тесты Яндекс.Самокат","Tue Sep 02 16:13:23 CEST 2025","passed","Tue Sep 02 16:13:28 CEST 2025","Оформление заказа","Заказ самоката","",""
"На странице ищем вопрос по его индексу, кликаем на стрелочку, получаем текст ответа и проверяем его соответствие вопросу","2650","Проверка соответствия текста ответа вопросу в выпадающем списке 'Вопросы о важном'","UI тесты Яндекс.Самокат","Tue Sep 02 16:12:51 CEST 2025","passed","Tue Sep 02 16:12:54 CEST 2025","Раздел 'Вопросы о важном'","Главная страница","",""
"На странице ищем вопрос по его индексу, кликаем на стрелочку, получаем текст ответа и проверяем его соответствие вопросу","2576","Проверка соответствия текста ответа вопросу в выпадающем списке 'Вопросы о важном'","UI тесты Яндекс.Самокат","Tue Sep 02 16:13:08 CEST 2025","passed","Tue Sep 02 16:13:11 CEST 2025","Раздел 'Вопросы о важном'","Главная страница","",""
"На странице ищем вопрос по его индексу, кликаем на стрелочку, получаем текст ответа и проверяем его соответствие вопросу","2620","Проверка соответствия текста ответа вопросу в выпадающем списке 'Вопросы о важном'","UI тесты Яндекс.Самокат","Tue Sep 02 16:13:04 CEST 2025","passed","Tue Sep 02 16:13:07 CEST 2025","Раздел 'Вопросы о важном'","Главная страница","",""
"На странице заказа ищем логотип Самокат, кликаем на него и проверяем, что URL соответствует главной странице Самоката","1672","Проверка редиректа со страницы заказа на главную страницу Самокат при нажатии на логотип Самоката.","UI тесты Яндекс.Самокат","Tue Sep 02 16:12:39 CEST 2025","passed","Tue Sep 02 16:12:41 CEST 2025","Редиректы при нажатии на логотип","Header","",""
"На странице ищем вопрос по его индексу, кликаем на стрелочку, получаем текст ответа и проверяем его соответствие вопросу","2555","Проверка соответствия текста ответа вопросу в выпадающем списке 'Вопросы о важном'","UI тесты Яндекс.Самокат","Tue Sep 02 16:12:56 CEST 2025","passed","Tue Sep 02 16:12:58 CEST 2025","Раздел 'Вопросы о важном'","Главная страница","",""
"На странице ищем вопрос по его индексу, кликаем на стрелочку, получаем текст ответа и проверяем его соответствие вопросу","2644","Проверка соответствия текста ответа вопросу в выпадающем списке 'Вопросы о важном'","UI тесты Яндекс.Самокат","Tue Sep 02 16:13:13 CEST 2025","passed","Tue Sep 02 16:13:15 CEST 2025","Раздел 'Вопросы о важном'","Главная страница","",""
"На странице ищем вопрос по его индексу, кликаем на стрелочку, получаем текст ответа и проверяем его соответствие вопросу","2546","Проверка соответствия текста ответа вопросу в выпадающем списке 'Вопросы о важном'","UI тесты Яндекс.Самокат","Tue Sep 02 16:12:43 CEST 2025","passed","Tue Sep 02 16:12:45 CEST 2025","Раздел 'Вопросы о важном'","Главная страница","",""
"На странице ищем вопрос по его индексу, кликаем на стрелочку, получаем текст ответа и проверяем его соответствие вопросу","2575","Проверка соответствия текста ответа вопросу в выпадающем списке 'Вопросы о важном'","UI тесты Яндекс.Самокат","Tue Sep 02 16:13:00 CEST 2025","passed","Tue Sep 02 16:13:02 CEST 2025","Раздел 'Вопросы о важном'","Главная страница","",""
"На странице ищем вопрос по его индексу, кликаем на стрелочку, получаем текст ответа и проверяем его соответствие вопросу","2577","Проверка соответствия текста ответа вопросу в выпадающем списке 'Вопросы о важном'","UI тесты Яндекс.Самокат","Tue Sep 02 16:12:47 CEST 2025","passed","Tue Sep 02 16:12:49 CEST 2025","Раздел 'Вопросы о важном'","Главная страница","",""
"На главной странице кликаем на кнопку 'Заказать', заполняем все поля валидными даннымина форме 'Для кого самокат', кликаем на кнопку 'Далее', заполняем валидными данными поляформы 'Про аренду', кликаем на кнопку 'Заказать', кликаем на кнопку 'Да' во всплывающем окне 'Хотите оформить заказ?' и проверяем, что появилось всплывающее окнос сообщением об успешном создании заказа.","4446","Проверка успешного оформления заказа самоката","UI тесты Яндекс.Самокат","Tue Sep 02 16:13:17 CEST 2025","passed","Tue Sep 02 16:13:22 CEST 2025","Оформление заказа","Заказ самоката","",""
"На странице ищем логотип Яндекс, кликаем на него, переходим в новую вкладку и проверяем, что URL соответствует главной странице Дзен","5057","Проверка редиректа на главную страницу Дзена в новой вкладке при нажатии на логотип Яндекса.","UI тесты Яндекс.Самокат","Tue Sep 02 16:12:32 CEST 2025","passed","Tue Sep 02 16:12:37 CEST 2025","Редиректы при нажатии на логотип","Header","",""
